timestamp,surge,sway,heave,roll,pitch,yaw,surge_t,sway_t,heave_t,roll_t,pitch_t,yaw_t
21:08:183295,-0.28323301672935486,-9.302550097345375e-06,4.382198312669061e-06,3.0558255730284145e-06,3.367116369190626e-05,1.8193104551755823e-05,0.06195343658328056,-4.759890362038277e-05,2.513835897843819e-05,1.1138754416606389e-05,-5.9628924645949155e-05,-2.1961720904073445e-06
21:08:284199,-0.28292009234428406,-9.206150025420357e-06,4.581806933856569e-06,2.9225057005533017e-06,3.354019281687215e-05,1.8210346752312034e-05,0.06253974884748459,3.0262301152106375e-05,4.9202251830138266e-05,-1.8401193301542662e-05,-2.818545908667147e-05,6.569103788933717e-06
21:08:385353,-0.28260472416877747,-9.448543096368667e-06,4.636760877474444e-06,2.91607193503296e-06,3.331534389872104e-05,1.8079092114930972e-05,0.0630669817328453,-2.289293843205087e-05,3.196724719600752e-05,-1.7019503957271809e-06,-3.138602914987132e-05,-1.2365087059151847e-05
21:08:486371,-0.28228649497032166,-9.259142643713858e-06,4.702571004600031e-06,2.701525090742507e-06,3.314015702926554e-05,1.8020098650595173e-05,0.06362181156873703,4.820323738385923e-05,2.08426354220137e-05,-3.5514833143679425e-05,-3.071163882850669e-05,-1.590896317793522e-05
21:08:587225,-0.2819654941558838,-9.593637514626607e-06,4.8893743951339275e-06,2.6852137580135604e-06,3.304657730041072e-05,1.7981035853154026e-05,0.06421605497598648,-1.0825165190908592e-05,3.80337551177945e-05,-2.8318190743448213e-05,-1.478149556533026e-06,-8.55859889270505e-06
21:08:688190,-0.2816423177719116,-9.69519533100538e-06,5.080858954897849e-06,2.5907911549438722e-06,3.289598680566996e-05,1.787881410564296e-05,0.0646190196275711,-3.174945595674217e-05,4.5840646635042503e-05,-1.8257593183079734e-05,-2.6263473046128638e-05,-2.8041748009854928e-05
21:08:789042,-0.28131571412086487,-9.552519259159453e-06,5.04417039337568e-06,2.5144865958282026e-06,3.2779902539914474e-05,1.7776084860088304e-05,0.06525277346372604,3.885459591401741e-05,3.1360038974526105e-06,-2.8050948458258063e-05,-1.2297318789933342e-05,-3.283245678176172e-05
21:08:889780,-0.28098639845848083,-9.481969755142927e-06,5.153736310603563e-06,2.7756636882259045e-06,3.252897658967413e-05,1.7649705114308745e-05,0.06588168442249298,1.1572197763598524e-05,3.335465953568928e-05,4.2016661609523e-05,-5.472668999573216e-05,-3.462899258011021e-05
21:08:990410,-0.28065454959869385,-9.445649084227625e-06,5.239982783677988e-06,2.762387339316774e-06,3.247518543503247e-05,1.767629146343097e-05,0.06634516268968582,2.816266533045564e-05,3.592717257561162e-05,1.151700325863203e-05,-2.2995489416643977e-05,-9.187392606690992e-06
21:09:091131,-0.2803196310997009,-9.26588927541161e-06,5.2988261813879944e-06,2.9097234346409095e-06,3.2221098081208766e-05,1.7514112187200226e-05,0.06700514256954193,4.150272798142396e-05,2.188776488765143e-05,5.841625352331903e-06,-4.637637539417483e-05,-1.8540973542258143e-05
21:09:199304,-0.27998244762420654,-9.19859030545922e-06,5.330401108949445e-06,3.117519554507453e-06,3.2086765713756904e-05,1.7441951058572158e-05,0.06742382049560547,2.9463637474691495e-05,7.4129734457528684e-06,3.4635213523870334e-05,-2.7377927835914306e-05,-1.5947161955409683e-05
21:09:299518,-0.27964192628860474,-9.355189831694588e-06,5.491591309692012e-06,3.236814336560201e-06,3.197930709575303e-05,1.7372491129208356e-05,0.06803200393915176,-8.363838787772693e-06,1.0595762432785705e-05,3.4004395274678245e-05,1.8694121308726608e-06,-1.4164168533170596e-05
21:09:399786,-0.27929893136024475,-9.510886229691096e-06,5.5195268942043185e-06,3.2650066259520827e-06,3.17418307531625e-05,1.7318991012871265e-05,0.06863963603973389,-3.414210004848428e-05,9.544937711325474e-06,5.728913947677938e-07,-4.658323814510368e-05,-8.53680739965057e-06
21:09:500055,-0.27895301580429077,-9.621602657716721e-06,5.339888048183639e-06,3.337165026096045e-06,3.159656625939533e-05,1.7277274309890345e-05,0.06912081688642502,-2.5640265448600985e-05,-5.4354364692699164e-05,1.2623568181879818e-05,-3.09506431221962e-05,-1.1493027159303892e-05
21:09:600574,-0.2786041796207428,-9.820297236728948e-06,5.517463705473347e-06,3.361635663168272e-06,3.140571425319649e-05,1.728952702251263e-05,0.06971442699432373,-3.764637222047895e-05,1.8649678168003447e-05,-2.701188577702851e-06,-3.94949056499172e-05,-3.322601742183906e-06
21:09:701440,-0.27825266122817993,-9.741957001097035e-06,5.3878161452303175e-06,3.443098421485047e-06,3.1237013899954036e-05,1.7234451661352068e-05,0.0703001618385315,1.3574877812061459e-05,-5.999787049404404e-07,1.9308634364278987e-05,-2.7767364372266456e-05,-8.689502465131227e-06
21:09:802163,-0.27789849042892456,-9.884529390546959e-06,5.242124643700663e-06,3.3852236356324283e-06,3.0949046049499884e-05,1.7275515347137116e-05,0.07075081765651703,-1.7121201381087303e-05,-3.7717996747232974e-05,1.8894681488745846e-05,-3.2173578802030534e-05,4.081432962266263e-06
21:09:902808,-0.2775408625602722,-9.963723641703837e-06,5.227711881161667e-06,3.2606867534923367e-06,3.054125772905536e-05,1.7252998077310622e-05,0.07148616015911102,-3.380770067451522e-05,2.2122328573459527e-06,-3.0935349059291184e-05,-8.12515354482457e-05,1.1912917216250207e-05
21:10:003452,-0.27718138694763184,-9.744274393597152e-06,5.037473329139175e-06,3.3583651202206966e-06,3.034161818504799e-05,1.7079310055123642e-05,0.0718890056014061,1.1499204447318334e-05,-1.8151995391235687e-05,-5.367804078559857e-06,-4.9747584853321314e-05,-2.1206062228884548e-05
21:10:104277,-0.27681872248649597,-9.485001100983936e-06,4.744244961329969e-06,3.4063964449160267e-06,3.002346056746319e-05,1.6894038708414882e-05,0.07246121764183044,6.40492798993364e-05,-5.9279485867591575e-05,1.593718297954183e-05,-5.410471567302011e-05,-4.562143294606358e-05
