timestamp,surge,sway,heave,roll,pitch,yaw,surge_t,sway_t,heave_t,roll_t,pitch_t,yaw_t
23:02:758385,-6.495888101198943e-06,0.0993293970823288,-1.2432280527718831e-05,2.5511919375276193e-05,3.4189729376521427e-06,-5.134365324011014e-07,6.659796054009348e-05,0.17804460227489471,-7.171499873948051e-06,-2.2261636331677437e-05,-1.7769751138985157e-05,2.671912807272747e-05
23:02:859502,-6.244891665119212e-06,0.10021866112947464,-1.2248664461367298e-05,2.559132917667739e-05,3.539617182468646e-06,-5.256304120848654e-07,9.725802374305204e-05,0.17787931859493256,2.7000996851711534e-05,7.27040924175526e-06,1.0733910130511504e-05,-4.808635367226088e-06
23:02:959982,-6.685002972517395e-06,0.10110705345869064,-1.2121667168685235e-05,2.561966175562702e-05,3.5033560834563104e-06,-5.139139602761134e-07,-5.4158896091394126e-05,0.17770448327064514,1.7877209756989032e-05,1.852433524618391e-05,4.039680788991973e-06,3.469562216196209e-06
23:03:061053,-6.435047453123843e-06,0.10199404507875443,-1.2060761036991607e-05,2.547230906202458e-05,3.487983121885918e-06,-7.377477118097886e-07,3.355367516633123e-05,0.17741237580776215,1.155993504653452e-05,-3.460592415649444e-05,-5.492577201948734e-06,-4.621749758371152e-05
23:03:161850,-6.489585302915657e-06,0.10288023948669434,-1.1962455573666375e-05,2.556723302404862e-05,3.6111380268266657e-06,-6.335470175145019e-07,-4.611984331859276e-05,0.17723876237869263,2.4330714950338006e-05,1.5414596418850124e-05,1.5684569007134996e-05,8.437285941909067e-06
23:03:262683,-6.4164219111262355e-06,0.10376564413309097,-1.1955827176279854e-05,2.556867002567742e-05,3.53992436430417e-06,-6.628430924138229e-07,-2.731335007410962e-05,0.17707382142543793,-8.206098755181301e-06,-4.12333247368224e-06,-9.931300155585632e-06,6.848973043815931e-06
23:03:363396,-6.322638910205569e-06,0.1046496108174324,-1.169206097983988e-05,2.5660456230980344e-05,3.693638291224488e-06,-7.029976814010297e-07,3.9956543332664296e-05,0.17682583630084991,4.6767312596784905e-05,8.680520295456517e-06,2.777129520836752e-05,-7.1544982347404584e-06
23:03:464018,-6.386775567079894e-06,0.10553275793790817,-1.1694053682731465e-05,2.5560557332937606e-05,3.532120672389283e-06,-7.604480742884334e-07,3.731211108970456e-05,0.17665670812129974,-1.4366038385560387e-06,-2.0266035789973103e-05,-2.2102291040937416e-05,-1.9555960534489714e-05
23:03:564831,-6.347152066155104e-06,0.10641511529684067,-1.1430292033765e-05,2.560617394919973e-05,3.5451016628940124e-06,-8.68608879045496e-07,2.9108627131790854e-05,0.17647001147270203,4.135684866923839e-05,4.3999668264405045e-07,-1.1405542863940354e-05,-3.3738855563569814e-05
23:03:665515,-6.2945282479631715e-06,0.10729621350765228,-1.145791702583665e-05,2.5665756766102277e-05,3.621463520175894e-06,-7.933748520372319e-07,1.3978377637613448e-06,0.17621220648288727,1.142258724939893e-06,1.3013651368964929e-05,1.583647826919332e-05,1.4298172573035117e-05
