timestamp,surge,sway,heave,roll,pitch,yaw,surge_t,sway_t,heave_t,roll_t,pitch_t,yaw_t
24:32:886015,3.750277528524748e-06,-1.3625806332129287e-06,-0.049661822617053986,-2.2961221475270577e-06,-1.1562856343516614e-06,1.0573322839491084e-07,-5.391660306486301e-05,5.963732837699354e-05,-0.1217798963189125,-2.590752046671696e-05,2.09800145967165e-05,1.5632493159500882e-05
24:32:987223,3.337800080771558e-06,-1.4182957102093496e-06,-0.050270333886146545,-2.3586108000017703e-06,-1.0682397260097787e-06,1.454031206549189e-07,-0.00012860310380347073,-4.0213936358668434e-07,-0.12169889360666275,-6.0355719142535236e-06,2.0412617232068442e-05,5.109811354486737e-06
24:33:087963,3.108113787675393e-06,-1.5453260857611895e-06,-0.05087830498814583,-2.483788875906612e-06,-1.1611915624598623e-06,1.4542348480972578e-07,-4.888936018687673e-05,-2.8276510420255363e-05,-0.12159768491983414,-2.709727777983062e-05,-1.6778027202235535e-05,2.2100016394688282e-06
24:33:188360,2.9342631933104713e-06,-1.7819668300944613e-06,-0.05148591101169586,-2.444776555421413e-06,-1.0955728839689982e-06,1.7188770584652957e-07,-7.182557601481676e-05,-2.2771240764996037e-05,-0.12151952087879181,-8.040558896027505e-06,1.9031793272006325e-05,-4.5050879293739854e-07
24:33:289184,3.4350555324635934e-06,-1.7638412828091532e-06,-0.05209297686815262,-2.4236592253146227e-06,-1.2161093536633416e-06,1.586875839620916e-07,0.00012067346688127145,1.6444953416794306e-06,-0.12143001705408096,1.8388114767731167e-05,-1.6463227439089678e-05,-1.672002690611407e-05
24:33:390263,3.0222913665056694e-06,-1.6396181763411732e-06,-0.052699413150548935,-2.387632093814318e-06,-1.1280882290520822e-06,1.3225800898908346e-07,-4.757522765430622e-05,-1.7459702576161362e-05,-0.12130008637905121,-2.7721641799871577e-06,2.1681074940715916e-05,-1.5089634871401358e-05
24:33:490739,3.0576609333365923e-06,-1.5252340972438105e-06,-0.05330532789230347,-2.2277583866525674e-06,-1.028907604450069e-06,1.3227605677457177e-07,-2.829416644090088e-06,-3.736560029210523e-05,-0.12117906659841537,1.2598891771631315e-05,2.3742315534036607e-05,-7.1734743869456e-06
24:33:591428,2.6307393454771955e-06,-1.3902950968258665e-06,-0.05391057953238487,-2.233530267403694e-06,-9.805436320675653e-07,3.7042295275568904e-07,-8.243976481026039e-05,2.4181725166272372e-05,-0.12107273936271667,1.5872377900905121e-07,1.1562605322978925e-05,5.28923628735356e-05
24:33:691866,2.8404872409737436e-06,-1.5938373962853802e-06,-0.05451556667685509,-2.1870891941944137e-06,-9.468595294492843e-07,2.9108673516020644e-07,5.169561700313352e-05,-2.57844749285141e-05,-0.12099636346101761,1.2846850950154476e-05,7.812083822500426e-06,1.2855468867201125e-06
24:33:792670,2.987409288834897e-06,-1.6311587387463078e-06,-0.055119819939136505,-2.228665607617586e-06,-1.0914520771621028e-06,3.1759293506183894e-07,4.370133319753222e-05,3.146231756545603e-05,-0.12085554003715515,2.619723773022997e-06,-7.740820365143009e-06,1.0634315685820184e-06
24:33:893354,3.2339014524040977e-06,-1.7633867628319422e-06,-0.055723730474710464,-2.1195914996496867e-06,-1.093933292395377e-06,2.7793203116743825e-07,1.590616193425376e-05,-3.9034981455188245e-05,-0.12077149748802185,2.71946846623905e-05,9.161913112620823e-07,-9.314825547335204e-06
