timestamp,surge,sway,heave,roll,pitch,yaw,surge_t,sway_t,heave_t,roll_t,pitch_t,yaw_t
26:05:738445,-9.949829291144852e-06,8.043159596127225e-07,-6.879906777612632e-07,0.05207245424389839,-1.31514900658658e-06,-2.5372735308337724e-06,7.778614417475183e-06,-3.105409996351227e-05,-2.5455614377278835e-05,0.003518312470987439,-1.0519763236516155e-05,9.910698281601071e-06
26:05:839190,-9.62749618338421e-06,8.09934249446087e-07,-7.485070909751812e-07,0.05208951234817505,-1.3805675962430541e-06,-2.5184745027218014e-06,8.950736082624644e-05,-1.3652605048264377e-05,-1.3769921679340769e-05,0.0034208467695862055,-1.6973244783002883e-05,1.0054044651042204e-05
26:05:939920,-9.607889296603389e-06,7.197918989731988e-07,-8.80372283518227e-07,0.05210604518651962,-1.4041513622942148e-06,-2.4871017103578197e-06,7.464153895853087e-06,-1.603077726031188e-05,-3.758266757358797e-05,0.003304460784420371,-9.52468235482229e-06,9.140020665654447e-06
26:06:041068,-9.244141438102815e-06,7.894386158113775e-07,-9.348919434160052e-07,0.052122097462415695,-1.475866724831576e-06,-2.4939186005212832e-06,6.691404996672645e-05,2.2783660824643448e-05,-1.975923078134656e-05,0.003215968841686845,-1.6852776752784848e-05,-3.2135787932929816e-06
26:06:141690,-9.033278729475569e-06,7.066254852361453e-07,-9.983554036807618e-07,0.05213756114244461,-1.4954932794353226e-06,-2.4477649276377633e-06,6.710328307235613e-05,4.358125806902535e-06,-1.3746201148023829e-05,0.0031017488799989223,-1.2643804438994266e-05,3.767916723518283e-06
26:06:242647,-8.58944531501038e-06,8.265298561127565e-07,-1.0004569048760459e-06,0.05215254798531532,-1.5894455600573565e-06,-2.506502596588689e-06,8.89793736860156e-05,1.1225026355532464e-05,-1.3985843906993978e-05,0.0030045779421925545,-2.1504314645426348e-05,-6.743012818333227e-06
26:06:343603,-8.433770744886715e-06,7.121803946574801e-07,-1.1000216773027205e-06,0.05216699093580246,-1.6230446817644406e-06,-2.434454700050992e-06,4.31976186519023e-05,-2.1237916371319443e-05,-5.22348636877723e-06,0.0028835944831371307,-7.893237125244923e-06,9.818608305067755e-06
26:06:443932,-7.944056051201187e-06,6.946584676370549e-07,-1.161651084657933e-06,0.0521809384226799,-1.7244479977307492e-06,-2.4534576823498355e-06,7.978054054547101e-05,-1.580316893523559e-05,-1.4353245205711573e-05,0.0027893255464732647,-1.8530750821810216e-05,1.8944626845041057e-06
26:06:544360,-7.890762390161399e-06,5.70554959722358e-07,-1.214393137161096e-06,0.052194345742464066,-1.7548550204082858e-06,-2.407622787359287e-06,1.924103344208561e-05,-3.0022652936168015e-05,-5.348765625967644e-06,0.002681970363482833,-3.838465090666432e-06,8.590192919655237e-06
26:06:645092,-7.683071089559235e-06,7.042647212074371e-07,-1.323683363807504e-06,0.052207279950380325,-1.8065718450088752e-06,-2.4526959805371007e-06,2.2315813112072647e-05,1.3672964087163564e-05,-1.8686281691771e-05,0.002587042050436139,-6.577146905328846e-06,-1.2036536645609885e-05
26:06:745617,-7.645217010576744e-06,6.479373269030475e-07,-1.4946255078029935e-06,0.05221962183713913,-1.8668099528440507e-06,-2.3811210212443257e-06,1.087033251678804e-05,-2.3228763893712312e-05,-2.8934815418324433e-05,0.002467180136591196,-9.35426214709878e-06,1.65408018801827e-05
26:06:846344,-7.431659469148144e-06,7.255684408846719e-07,-1.5156952031247783e-06,0.052231550216674805,-1.909691491164267e-06,-2.347062263652333e-06,4.608189919963479e-05,1.891104875539895e-05,-3.277107225585496e-06,0.0023815000895410776,-9.09112441149773e-06,8.437478754785843e-06
26:06:947305,-7.352706234087236e-06,5.520856802831986e-07,-1.617112388885289e-06,0.05224289372563362,-1.9765675460803322e-06,-2.340339960937854e-06,1.510389211034635e-05,-1.7750728147802874e-05,-2.7257143301540054e-05,0.002281640423461795,-1.6319156202371232e-05,4.401835667522391e-06
26:07:048038,-7.105840268195607e-06,4.212530484437593e-07,-1.6726219200791093e-06,0.05225377529859543,-2.0461989151954185e-06,-2.358621486564516e-06,4.268691554898396e-05,-3.184707384207286e-05,-6.843049504823284e-06,0.0021861689165234566,-1.0799867595778778e-05,-6.007262072671438e-06
26:07:148581,-7.009129603829933e-06,3.94824979821351e-07,-1.6967367173492676e-06,0.05226410925388336,-2.042542973867967e-06,-2.3756374503136612e-06,6.817040230089333e-06,-8.877231266524177e-06,-9.175560080620926e-06,0.0020714523270726204,-1.856134758781991e-06,-8.920605068851728e-06
