timestamp,surge,sway,heave,roll,pitch,yaw,surge_t,sway_t,heave_t,roll_t,pitch_t,yaw_t
29:33:446343,2.9988975711603416e-06,2.8271597329876386e-06,-3.0253906402322173e-07,6.679846933366207e-07,-2.6023781174444593e-06,-0.04547612741589546,-4.238634937792085e-05,-4.757439091918059e-05,-2.3978403987712227e-05,-1.783694460755214e-05,-1.963798604265321e-05,-0.016370387747883797
29:33:547250,3.1385343390866183e-06,2.85226883534051e-06,-3.045678340640734e-07,6.394391789399378e-07,-2.5681483748485334e-06,-0.04555748775601387,1.2569406862894539e-05,1.2471819900383707e-05,-1.0387168913439382e-05,-2.526007619962911e-06,-9.70766086538788e-06,-0.016282908618450165
29:33:647785,2.971975618493161e-06,2.3270943074749084e-06,-4.155936608185584e-07,5.526018753698736e-07,-2.5826332148426445e-06,-0.04563833773136139,-4.6307293814606965e-05,-0.00010850360558833927,-2.2830203306511976e-05,-1.4950285731174517e-05,3.284711738160695e-06,-0.016172783449292183
29:33:748368,3.1914032661006786e-06,2.310513764314237e-06,-3.077501844472863e-07,5.863587375642965e-07,-2.7399164537200704e-06,-0.04571885988116264,4.930996146867983e-05,-2.030560062848963e-05,-1.3336182291823206e-07,-8.380866347579286e-07,-2.9260534574859776e-05,-0.016098223626613617
29:33:849105,3.5359885259822477e-06,2.1706559891754296e-06,-1.7737106361437327e-07,5.563540526054567e-07,-2.833312692018808e-06,-0.04579896479845047,9.35322605073452e-05,-1.10029714051052e-05,1.237700507772388e-05,-1.031562624120852e-05,-2.031129588431213e-05,-0.016022438183426857
29:33:949897,3.840898443741025e-06,2.1772098079964053e-06,-1.937768558946118e-07,6.579958835573052e-07,-2.8893423404952046e-06,-0.04587852209806442,0.00010288472549291328,-8.653378245071508e-06,6.84323185851099e-06,1.9862955014104955e-05,-1.2730395610560663e-05,-0.01592274196445942
29:34:050309,3.679414021462435e-06,2.227686763944803e-06,-3.089812992129737e-07,5.666908009516192e-07,-2.922721250797622e-06,-0.04595763236284256,1.8902694137068465e-05,6.166070761537412e-06,-1.3615410352940671e-05,-2.2984218958299607e-05,-7.000360255915439e-06,-0.015829123556613922
29:34:150857,4.010147222288651e-06,2.242466052848613e-06,-9.436043768573654e-08,6.456643859564792e-07,-2.921440909631201e-06,-0.04603632539510727,7.974352047313005e-05,-2.0034416593261994e-05,4.0965507650980726e-05,-5.9544645409914665e-06,2.6181735393038252e-06,-0.015747349709272385
29:34:251791,4.418653588800225e-06,2.124354750776547e-06,-6.257070861437342e-09,6.538543857459445e-07,-2.9970526611577952e-06,-0.04611441493034363,8.27681869850494e-05,-4.114899638807401e-05,2.382858656346798e-05,1.1542412039489136e-06,-6.999834113230463e-06,-0.015623490326106548
29:34:352688,4.473964509088546e-06,2.3151617369876476e-06,5.423581228569674e-08,7.64273124786996e-07,-2.9574869131465675e-06,-0.04619216546416283,6.495720299426466e-05,3.061446113861166e-05,2.1303061657818034e-05,3.053884574910626e-05,4.181956228421768e-06,-0.015554334037005901
29:34:463605,4.422746314958204e-06,2.352021738261101e-06,4.232144945603977e-08,7.45225008813577e-07,-2.833126018231269e-06,-0.04626934230327606,3.561579796951264e-05,-1.558844473947829e-06,6.648623184446478e-06,-1.3746931415425934e-07,2.5835746782831848e-05,-0.015445180237293243
29:34:567777,4.42826421931386e-06,2.2468664155894658e-06,1.5190319402336172e-07,7.6670994531014e-07,-2.8242238840903156e-06,-0.04634605720639229,-4.0784457269182894e-06,-4.071098373970017e-05,1.3443405805446673e-05,-2.0483507796598133e-06,8.149906534526963e-06,-0.01535075157880783
29:34:668452,4.536881533567794e-06,2.347368081245804e-06,1.6462054475141485e-07,8.04201022219786e-07,-2.807585360642406e-06,-0.04642228037118912,9.94433958112495e-06,3.3362972317263484e-05,2.6845893899007933e-06,5.869862434337847e-06,-3.716538230946753e-06,-0.015241840854287148
29:34:769387,4.486941634240793e-06,2.3330296698986785e-06,6.51424727493577e-08,8.513761713402346e-07,-2.6870184228755534e-06,-0.04649818688631058,-7.697159162489697e-06,3.465968620730564e-05,-2.4576922442065552e-05,6.5428898778918665e-06,1.862986209744122e-05,-0.015175382606685162
29:34:870336,4.610405994753819e-06,2.3623019842489157e-06,7.571058802113839e-08,9.278940638068889e-07,-2.6334510039305314e-06,-0.04657355695962906,7.471088338206755e-06,1.7101554476539604e-05,-2.5599586024327436e-06,2.3402386432280764e-05,8.577300832257606e-06,-0.015077760443091393
29:34:970877,4.889219781034626e-06,2.3012005385680823e-06,1.413287122886686e-07,9.278231232201506e-07,-2.572261792010977e-06,-0.046648524701595306,5.3639021643903106e-05,1.0180203389609233e-05,1.176980458694743e-05,1.2726145541819278e-05,1.1627770618360955e-05,-0.015001426450908184
